nama_penghuni,jenis_kelamin,program_studi,nomor_hp,kota,username,password
Lukman Permana,Laki-laki,Teknik Fisika,6284386992,Bekasi,lukman,lukman
Shinta Yuliani,Perempuan,Administrasi Bisnis,62821847739,Bandung,shinta,shinta
Mawar Dian,Perempuan,Kriya Tekstil dan Mode,62844772197,Jakarta,mawar,mawar
Hamdani Suharto,Laki-laki,Teknik Telekomunikasi,62838888339,Bekasi,hamdani,hamdani
Eko Purnomo,Laki-laki,Teknik Industri,6282258477,Banten,eko,eko
Sri Lestari,Perempuan,Teknik Industri,62822512882,Banjarmasin,sri,sri
Fabiola Mustikasari,Perempuan,MBTI,62843338895,Surabaya,fabiola,fabiola
Abdul Holiq,Laki-laki,Sistem Informasi,62854876333,Malang,abdul,abdul
Muhammad Romi,Laki-laki,Sistem Komputer,62845476466,Malang,romi,romi
Muhammad Arif,Laki-laki,Sistem Komputer,6286993927,Magelang,arif,arif
