nama_penghuni,jenis_kelamin,program_studi,nomor_hp,kota,username,password
Doni Andika,Laki-laki,Teknik Industri,62822402988,Bandung,doni,doni
Jenifer Larisa,Perempuan,Ilmu Komunikasi,62885876856,Malang,jenifer,jenifer
Kallista Sidra Philotra,Perempuan,Teknik Fisika,62874587474,Bandung,kallista,kallista
Danu Aulia,Laki-laki,Sistem Informasi,62847391077,Bekasi,danu,danu
Taufik Ahmad,Laki-laki,Sistem Informasi,6284378474,Jakarta Selatan,taufik,taufik
Rahmi Astuti,Perempuan,MBTI,62837487444,Semarang,rahmi,rahmi
Adara Fredella Ulani,Perempuan,DKV,62833297234,Tangerang,adara,adara
Zalwa Afiqah,Perempuan,DKV,62823863476,Padang,zalwa,zalwa
Ario Prawita,Laki-laki,Sistem Komputer,62813939938,Magelang,ario,ario
Fajri Widian,Laki-laki,Akuntansi,62897439999,Banjarmasin,fajri,fajri
